"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD8B",0,-4.93208278628561,0.022,0.485,0,"0","CD8B"
"CD40LG",0,1.68705191517078,0.725,0.272,0,"0","CD40LG"
"CD8A",0,-4.31340160713936,0.094,0.533,0,"0","CD8A"
"TIGIT",0,-3.94291473819904,0.055,0.477,0,"0","TIGIT"
"KLRD1",0,-5.93870962879443,0.01,0.398,0,"0","KLRD1"
"HLA-DPA1",0,-3.43387921405346,0.097,0.481,0,"0","HLA-DPA1"
"IL7R",0,1.42067750965095,0.975,0.601,0,"0","IL7R"
"HLA-DRB1",0,-5.06971630935655,0.039,0.413,0,"0","HLA-DRB1"
"HLA-DPB1",0,-4.05246964047732,0.05,0.415,0,"0","HLA-DPB1"
"ANXA1",0,1.36198326042225,0.971,0.633,0,"0","ANXA1"
"KLRB1",0,0.924840474054663,0.861,0.532,0,"0","KLRB1"
"DUSP4",0,-3.65096558700437,0.041,0.368,0,"0","DUSP4"
"GPR183",0,1.17093222741447,0.751,0.426,0,"0","GPR183"
"NKG7",0,-3.0471987147546,0.303,0.617,0,"0","NKG7"
"GZMA",0,-3.2111853782429,0.253,0.563,0,"0","GZMA"
"ITGAE",0,-1.99097932809938,0.191,0.485,0,"0","ITGAE"
"GZMB",0,-5.0214348022131,0.029,0.32,0,"0","GZMB"
"CD38",0,-4.05804089315434,0.029,0.311,0,"0","CD38"
"CD4",0,1.08109875874037,0.544,0.271,0,"0","CD4"
"CTLA4",0,-2.77199914958587,0.078,0.344,0,"0","CTLA4"
"CCL4",0,-1.53885108028344,0.224,0.488,0,"0","CCL4"
"ACP5",0,-1.7763526402284,0.138,0.388,0,"0","ACP5"
"AHNAK",0,0.998430949363241,0.737,0.488,0,"0","AHNAK"
"AOAH",0,-1.98170454427269,0.11,0.356,0,"0","AOAH"
"LINC02446",0,-6.08375267457427,0.008,0.25,0,"0","LINC02446"
"MIR4435-2HG",0,-2.09020153736962,0.132,0.373,0,"0","MIR4435-2HG"
"HLA-DRA",0,-6.59997292190031,0.008,0.249,0,"0","HLA-DRA"
"PRF1",0,-1.59372208045319,0.304,0.542,0,"0","PRF1"
"FABP5",0,-3.7834033716336,0.026,0.26,0,"0","FABP5"
"IL2RB",0,-1.09477775663628,0.378,0.607,0,"0","IL2RB"
"CD160",0,-6.08002146516907,0.006,0.231,0,"0","CD160"
"XCL2",0,-4.39746195358925,0.026,0.249,0,"0","XCL2"
"PTPN22",0,-1.04029127846565,0.346,0.568,0,"0","PTPN22"
"LITAF",0,-1.24593610235106,0.274,0.495,0,"0","LITAF"
"TOX",0,-3.03011102968508,0.035,0.254,0,"0","TOX"
"TMIGD2",0,-2.23007311167137,0.096,0.311,0,"0","TMIGD2"
"GABARAPL1",0,-2.00478856552305,0.081,0.296,0,"0","GABARAPL1"
