"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IL7R",0,1.60943492071641,0.878,0.462,0,"0","IL7R"
"ANXA1",0,1.5328606247,0.83,0.447,0,"0","ANXA1"
"CD8A",0,-3.41433712029876,0.078,0.431,0,"0","CD8A"
"CD8B",0,-3.60222185916684,0.036,0.384,0,"0","CD8B"
"CD40LG",0,1.80777191523595,0.49,0.161,0,"0","CD40LG"
"NKG7",0,-3.00733135682217,0.218,0.54,0,"0","NKG7"
"TIGIT",0,-3.17120671934063,0.053,0.346,0,"0","TIGIT"
"KLRD1",0,-4.18080248703692,0.021,0.311,0,"0","KLRD1"
"GPR183",0,1.16213855173567,0.587,0.303,0,"0","GPR183"
"KLRB1",0,0.73191868844946,0.767,0.485,0,"0","KLRB1"
"GZMA",0,-2.93603908749988,0.19,0.468,0,"0","GZMA"
"FOSB",0,1.33133906811032,0.792,0.524,0,"0","FOSB"
"HLA-DPA1",0,-2.32207258174578,0.085,0.309,0,"0","HLA-DPA1"
"GZMB",0,-3.37490205133638,0.046,0.265,0,"0","GZMB"
"FOS",0,1.45060869563887,0.921,0.703,0,"0","FOS"
"HLA-DPB1",0,-2.5482567139858,0.057,0.275,0,"0","HLA-DPB1"
"HLA-DRB1",0,-2.84722358549723,0.051,0.262,0,"0","HLA-DRB1"
"AHNAK",0,0.943092500239492,0.515,0.312,0,"0","AHNAK"
"S100A11",0,0.831599600498559,0.717,0.52,0,"0","S100A11"
"TNFAIP3",0,0.927505134393966,0.814,0.618,0,"0","TNFAIP3"
"ITGAE",0,-1.64712564955576,0.149,0.343,0,"0","ITGAE"
"DUSP4",0,-2.4286321588834,0.051,0.245,0,"0","DUSP4"
"NR4A1",0,1.10590394962617,0.509,0.316,0,"0","NR4A1"
"PPP1R15A",0,0.786769419950083,0.736,0.543,0,"0","PPP1R15A"
"MYADM",0,0.994666729668564,0.535,0.343,0,"0","MYADM"
"DUSP1",0,1.04915653653312,0.893,0.705,0,"0","DUSP1"
"NFKBIA",0,1.01537197664083,0.71,0.522,0,"0","NFKBIA"
"CCL4",0,-1.30097865922218,0.183,0.37,0,"0","CCL4"
"EMP3",0,0.646920463007734,0.69,0.504,0,"0","EMP3"
"CD4",0,1.10700513893955,0.335,0.151,0,"0","CD4"
"TSC22D3",0,0.894841973097926,0.854,0.67,0,"0","TSC22D3"
"RGCC",0,0.961712440228001,0.612,0.431,0,"0","RGCC"
"XCL2",0,-3.93852695257532,0.023,0.201,0,"0","XCL2"
"CXCR4",0,0.622050217871375,0.702,0.524,0,"0","CXCR4"
"DNAJB1",0,0.831460756317422,0.716,0.539,0,"0","DNAJB1"
"TNF",0,1.69739190072046,0.343,0.167,0,"0","TNF"
"LGALS3",0,0.92376512586511,0.418,0.245,0,"0","LGALS3"
"S100A4",0,0.563789402747776,0.926,0.754,0,"0","S100A4"
"PTGER4",0,0.824503135508011,0.596,0.424,0,"0","PTGER4"
"CD160",0,-4.60977942619858,0.008,0.179,0,"0","CD160"
"PTGER2",0,1.1384910169267,0.339,0.172,0,"0","PTGER2"
"PRF1",0,-1.65898037724202,0.182,0.348,0,"0","PRF1"
"TIMP1",0,1.15970608051273,0.326,0.162,0,"0","TIMP1"
"EEF1G",0,0.625399396860861,0.665,0.503,0,"0","EEF1G"
"TMIGD2",0,-2.14561588449971,0.076,0.238,0,"0","TMIGD2"
"FABP5",0,-2.29689643625261,0.041,0.201,0,"0","FABP5"
"IKZF3",0,-1.23427173743579,0.191,0.351,0,"0","IKZF3"
"ENTPD1",0,-3.83558847080742,0.012,0.171,0,"0","ENTPD1"
"MTRNR2L8",0,-1.11185890259676,0.155,0.312,0,"0","MTRNR2L8"
"EGR1",0,1.90056068323463,0.311,0.157,0,"0","EGR1"
"CSRNP1",0,0.737467983568543,0.508,0.356,0,"0","CSRNP1"
"S100A10",0,0.572587436592211,0.754,0.603,0,"0","S100A10"
"CD38",0,-2.57083251527241,0.034,0.185,0,"0","CD38"
"PLAC8",0,1.22770253355977,0.262,0.114,0,"0","PLAC8"
"ACP5",0,-1.64541894199619,0.095,0.243,0,"0","ACP5"
"CTLA4",0,-2.0714843985976,0.066,0.213,0,"0","CTLA4"
"LAG3",0,-1.6619878905886,0.148,0.294,0,"0","LAG3"
"AOAH",0,-1.77133171207808,0.076,0.221,0,"0","AOAH"
"HLA-DRA",0,-2.68337941256298,0.032,0.176,0,"0","HLA-DRA"
"RGS2",0,0.887735533737467,0.455,0.312,0,"0","RGS2"
"PHLDA1",0,1.04395070869326,0.395,0.252,0,"0","PHLDA1"
"ERN1",0,1.20446673116204,0.288,0.147,0,"0","ERN1"
"IL2RB",0,-1.12877930829294,0.233,0.373,0,"0","IL2RB"
"IL2",0,2.45526652978512,0.182,0.043,0,"0","IL2"
"PTPN22",0,-0.99855077528558,0.249,0.386,0,"0","PTPN22"
"GNLY",0,-2.8194680684936,0.049,0.186,0,"0","GNLY"
"CRIP1",0,0.636520956214365,0.733,0.596,0,"0","CRIP1"
"JUND",0,0.769246281159954,0.624,0.487,0,"0","JUND"
"LINC02446",0,-4.16754545743153,0.011,0.148,0,"0","LINC02446"
"GZMH",0,-3.40382027130779,0.028,0.164,0,"0","GZMH"
"TTC39C",0,0.812995840038386,0.446,0.31,0,"0","TTC39C"
"CLIC3",0,-2.22046366004943,0.05,0.185,0,"0","CLIC3"
"MTRNR2L12",0,-1.2506706549505,0.24,0.373,0,"0","MTRNR2L12"
"CD7",0,-1.23684629755154,0.684,0.816,0,"0","CD7"
"BATF",0,-1.1923375011454,0.171,0.302,0,"0","BATF"
"CITED2",0,0.835494935244989,0.571,0.44,0,"0","CITED2"
"MIR4435-2HG",0,-1.62728271716403,0.092,0.222,0,"0","MIR4435-2HG"
"LMNA",0,1.35085520810571,0.24,0.111,0,"0","LMNA"
"UCP2",0,-0.938401786560351,0.327,0.456,0,"0","UCP2"
"VIM",0,0.671218387660748,0.897,0.768,0,"0","VIM"
"CD69",0,0.755370433731477,0.869,0.74,0,"0","CD69"
"C9orf16",0,-0.695340974452072,0.425,0.553,0,"0","C9orf16"
"TOX",0,-2.58953584094515,0.029,0.156,0,"0","TOX"
"IFITM2",0,0.541089706356575,0.81,0.683,0,"0","IFITM2"
"AQP3",0,0.594420058260412,0.337,0.212,0,"0","AQP3"
"ZEB2",0,-3.51319024567244,0.012,0.136,0,"0","ZEB2"
"ZFP36",0,0.935079324243741,0.881,0.757,0,"0","ZFP36"
"SAMSN1",0,0.51147014493256,0.538,0.415,0,"0","SAMSN1"
"GZMK",0,-2.66651960859549,0.061,0.184,0,"0","GZMK"
"CCL4L2",0,-2.1399696121118,0.049,0.172,0,"0","CCL4L2"
"GYPC",0,-0.607915497223004,0.44,0.563,0,"0","GYPC"
"KLF6",0,0.808566412687923,0.873,0.751,0,"0","KLF6"
"ZFP36L2",0,0.70287150531603,0.887,0.766,0,"0","ZFP36L2"
"TRAC",0,-0.457104966758863,0.487,0.608,0,"0","TRAC"
"GABARAPL1",0,-1.4789360118946,0.075,0.195,0,"0","GABARAPL1"
"JUN",0,1.12481936797331,0.836,0.716,0,"0","JUN"
"C12orf75",0,-1.24808478097489,0.107,0.226,0,"0","C12orf75"
"ASB2",0,-1.30318425748197,0.105,0.224,0,"0","ASB2"
"PRKCH",0,-0.651355541558695,0.329,0.448,0,"0","PRKCH"
"RAB27A",0,-0.930314781285372,0.175,0.294,0,"0","RAB27A"
"PECAM1",0,-3.97629162592157,0.008,0.127,0,"0","PECAM1"
"HSPA1B",0,1.00238948766498,0.358,0.24,0,"0","HSPA1B"
"PLP2",0,0.590737774415126,0.43,0.312,0,"0","PLP2"
"XCL1",0,-2.24068331640952,0.049,0.166,0,"0","XCL1"
"NR4A2",0,0.319140323998906,0.638,0.521,0,"0","NR4A2"
"TUBA1A",0,0.74997965571128,0.574,0.457,0,"0","TUBA1A"
"CTSW",0,-1.31174183068224,0.22,0.336,0,"0","CTSW"
"CD244",0,-3.40975169557267,0.013,0.129,0,"0","CD244"
"PTTG1",0,-1.26297694595668,0.092,0.208,0,"0","PTTG1"
"SLC2A3",0,0.462213137093444,0.66,0.544,0,"0","SLC2A3"
"FLNA",0,-0.840581368885958,0.209,0.324,0,"0","FLNA"
"IFNGR1",0,1.0436160841737,0.251,0.136,0,"0","IFNGR1"
"LITAF",0,-0.989386754566937,0.186,0.301,0,"0","LITAF"
"LDLRAD4",0,-1.07416963140149,0.124,0.239,0,"0","LDLRAD4"
"SIRPG",0,-0.882466331279964,0.251,0.366,0,"0","SIRPG"
"TNFSF13B",0,1.5902746225731,0.179,0.065,0,"0","TNFSF13B"
"JUNB",0,0.753146911743283,0.92,0.806,0,"0","JUNB"
"SORL1",0,1.03143444332189,0.226,0.113,0,"0","SORL1"
"ARL4A",0,0.852556562696783,0.294,0.181,0,"0","ARL4A"
"RPL36A",0,0.463722812374229,0.815,0.702,0,"0","RPL36A"
