,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
CD8A,0,1.896912284,0.852,0.304,0,0,CD8A
CD8B,0,1.986943147,0.802,0.255,0,0,CD8B
NKG7,0,1.499275279,0.913,0.455,0,0,NKG7
CCL4,0,1.809335795,0.674,0.251,0,0,CCL4
GZMA,0,0.324735664,0.794,0.417,0,0,GZMA
GZMH,0,2.646955241,0.408,0.092,0,0,GZMH
CCL5,0,1.102602602,0.982,0.669,0,0,CCL5
GZMK,0,2.943107583,0.404,0.095,0,0,GZMK
LINC02446,0,1.6987579,0.441,0.142,0,0,LINC02446
HLA-DPA1,0,1.26555168,0.581,0.288,0,0,HLA-DPA1
HLA-DPB1,0,1.391700096,0.525,0.238,0,0,HLA-DPB1
HLA-DRB1,0,1.399251746,0.5,0.215,0,0,HLA-DRB1
CTSW,0,1.047862089,0.606,0.328,0,0,CTSW
CST7,0,1.195466782,0.861,0.589,0,0,CST7
KLRD1,0,0.875301978,0.528,0.265,0,0,KLRD1
CD40LG,0,-2.825347024,0.058,0.316,0,0,CD40LG
PRF1,0,0.921264281,0.604,0.355,0,0,PRF1
GZMM,0,0.977375446,0.71,0.466,0,0,GZMM
GZMB,0,0.940199659,0.444,0.207,0,0,GZMB
ZNF683,0,2.347041445,0.31,0.076,0,0,ZNF683
LAG3,0,0.800183608,0.502,0.272,0,0,LAG3
IFNG,0,1.415133831,0.386,0.158,0,0,IFNG
CXCR3,0,0.894863539,0.554,0.329,0,0,CXCR3
ITM2C,0,1.230954779,0.511,0.289,0,0,ITM2C
CD4,0,-2.60028225,0.055,0.276,0,0,CD4
XCL2,0,1.005388026,0.354,0.142,0,0,XCL2
C12orf75,0,1.141720872,0.42,0.21,0,0,C12orf75
AOAH,0,0.941131695,0.398,0.199,0,0,AOAH
PECAM1,0,1.677294324,0.288,0.091,0,0,PECAM1
CCL4L2,0,1.775056973,0.309,0.114,0,0,CCL4L2
APOBEC3G,0,1.125268347,0.478,0.288,0,0,APOBEC3G
TNFRSF18,0,-2.869328539,0.051,0.239,0,0,TNFRSF18
CYTOR,0,0.687510051,0.569,0.381,0,0,CYTOR
ABI3,0,0.662835954,0.574,0.398,0,0,ABI3
THEMIS,0,0.805905093,0.508,0.334,0,0,THEMIS
TNFRSF4,0,-3.675086117,0.035,0.207,0,0,TNFRSF4
HLA-DRA,0,1.079211626,0.314,0.145,0,0,HLA-DRA
XCL1,0,1.024663614,0.29,0.125,0,0,XCL1
CLIC3,0,0.950447504,0.339,0.175,0,0,CLIC3
GYG1,0,0.832492112,0.486,0.323,0,0,GYG1
SIT1,0,0.600916677,0.577,0.416,0,0,SIT1
