"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD8B",0,2.17534672240237,0.894,0.251,0,"0","CD8B"
"CD8A",0,1.94300898834244,0.934,0.307,0,"0","CD8A"
"KLRD1",0,1.5762153738236,0.679,0.219,0,"0","KLRD1"
"LINC02446",0,2.66404201808012,0.555,0.103,0,"0","LINC02446"
"NKG7",0,0.939121496303193,0.895,0.458,0,"0","NKG7"
"CCL4",0,1.2034191651948,0.725,0.353,0,"0","CCL4"
"CD40LG",0,-2.59382769904422,0.099,0.44,0,"0","CD40LG"
"CD4",0,-3.17111342488086,0.068,0.399,0,"0","CD4"
"HOPX",0,0.994244402714825,0.732,0.411,0,"0","HOPX"
"ITGAE",0,1.18176099829488,0.667,0.358,0,"0","ITGAE"
"ZNF683",0,3.16684224376213,0.359,0.055,0,"0","ZNF683"
"ITM2C",0,1.17087767564547,0.663,0.363,0,"0","ITM2C"
"XCL2",0,1.79794251237536,0.436,0.139,0,"0","XCL2"
"LINC01871",0,0.909591089077573,0.751,0.466,0,"0","LINC01871"
"GZMB",0,1.28639067886472,0.482,0.199,0,"0","GZMB"
"GZMA",0,0.347898835201832,0.717,0.439,0,"0","GZMA"
"CTSW",0,0.891291654096622,0.663,0.39,0,"0","CTSW"
"CCL5",0,1.29280982365096,0.958,0.692,0,"0","CCL5"
"XCL1",0,2.17110616484772,0.372,0.11,0,"0","XCL1"
"AOAH",0,0.942605248715804,0.508,0.25,0,"0","AOAH"
"IFNG",0,1.15503709897779,0.478,0.226,0,"0","IFNG"
"LAG3",0,0.627095096599267,0.602,0.351,0,"0","LAG3"
"PRF1",0,0.787950673205469,0.69,0.439,0,"0","PRF1"
"GPR183",0,-1.48631155036522,0.297,0.547,0,"0","GPR183"
"ITGA1",0,0.742356816329056,0.573,0.328,0,"0","ITGA1"
"CD248",0,3.59174502834621,0.27,0.031,0,"0","CD248"
"GABARAPL1",0,1.25105292557948,0.432,0.201,0,"0","GABARAPL1"
"PECAM1",0,1.68440169112779,0.341,0.111,0,"0","PECAM1"
"CD160",0,1.31301837658172,0.364,0.135,0,"0","CD160"
"CLIC3",0,1.44267717969274,0.383,0.165,0,"0","CLIC3"
"ABI3",0,0.695814448947102,0.709,0.495,0,"0","ABI3"
"HLA-DPA1",0,0.133846023479855,0.566,0.356,0,"0","HLA-DPA1"
"RUNX3",0,0.721143268347567,0.616,0.411,0,"0","RUNX3"
"PTPN22",0,0.679551938510694,0.678,0.479,0,"0","PTPN22"
"CD244",0,1.29360630302812,0.335,0.136,0,"0","CD244"
"ID2",0,0.659254237182715,0.746,0.547,0,"0","ID2"
"TNFRSF4",0,-3.17664123660815,0.061,0.259,0,"0","TNFRSF4"
"CXCR3",0,0.519800217336522,0.632,0.436,0,"0","CXCR3"
"HLA-DPB1",0,0.27035086725697,0.491,0.298,0,"0","HLA-DPB1"
"JAML",0,0.69075703495229,0.556,0.365,0,"0","JAML"
"GZMH",0,0.757437775689254,0.337,0.148,0,"0","GZMH"
"SPRY1",0,0.988200837315815,0.398,0.21,0,"0","SPRY1"
"FASLG",0,0.936841503847853,0.43,0.242,0,"0","FASLG"
"MATK",0,0.717046472456145,0.489,0.303,0,"0","MATK"
"CD28",0,-1.26827737224851,0.242,0.427,0,"0","CD28"
"FKBP11",0,0.645167776319707,0.619,0.435,0,"0","FKBP11"
"C12orf75",0,0.740546612964088,0.442,0.259,0,"0","C12orf75"
"AQP3",0,-1.33905127291091,0.261,0.443,0,"0","AQP3"
"CST7",0,0.355115789544993,0.874,0.699,0,"0","CST7"
"TRG-AS1",0,0.918347833075623,0.38,0.211,0,"0","TRG-AS1"
"DAPK2",0,1.66577100441543,0.26,0.092,0,"0","DAPK2"
"TNFRSF18",0,-2.1543171789585,0.093,0.259,0,"0","TNFRSF18"
"ALOX5AP",0,0.78560982580564,0.835,0.669,0,"0","ALOX5AP"
"GPR34",0,1.60929355370504,0.264,0.1,0,"0","GPR34"
"KLRK1",0,1.55371996256606,0.246,0.084,0,"0","KLRK1"
"CTSB",0,-1.28225785781887,0.247,0.408,0,"0","CTSB"
"SLA2",0,0.664213521713125,0.469,0.312,0,"0","SLA2"
"BCAS4",0,0.937149469987313,0.341,0.186,0,"0","BCAS4"
"CCR6",0,-1.83212272571424,0.11,0.256,0,"0","CCR6"
"FBLN7",0,-3.39511811338824,0.027,0.171,0,"0","FBLN7"
"ICOS",0,-0.89340139148367,0.375,0.518,0,"0","ICOS"
"CD9",0,1.4606667175293,0.223,0.083,0,"0","CD9"
"CRTAM",0,1.05488958633054,0.237,0.098,0,"0","CRTAM"
"LTB",0,-1.01101112929267,0.611,0.749,0,"0","LTB"
"CD7",0,0.609156986519702,0.981,0.856,0,"0","CD7"
"CD101",0,1.18400064512825,0.225,0.106,0,"0","CD101"
"CD8B2",0,2.07113382220721,0.149,0.038,0,"0","CD8B2"
"IL6R",0,-3.06445207143923,0.026,0.135,0,"0","IL6R"
"COTL1",0,0.670655709758857,0.953,0.847,0,"0","COTL1"
"KLRC4",0,1.73821875397555,0.138,0.044,0,"0","KLRC4"
"YBX3",0,1.62894702849519,0.136,0.049,0,"0","YBX3"
"CD52",0,0.592794829103948,0.996,0.963,0,"0","CD52"
"SH3BGRL3",0,0.530268591306344,0.997,0.976,0,"0","SH3BGRL3"
"DUSP1",0,-0.555966254326232,0.939,0.955,0,"0","DUSP1"
"TMIGD2",4.4354328439093e-307,0.643387448304431,0.386,0.233,8.87086568781859e-304,"0","TMIGD2"
"NT5E",1.09309730020697e-300,1.59158543648506,0.12,0.042,2.18619460041394e-297,"0","NT5E"
"TMSB4X",1.17723362727958e-294,0.168783088245553,1,0.999,2.35446725455917e-291,"0","TMSB4X"
"TESC",2.38911018055271e-293,1.05984221109715,0.272,0.151,4.77822036110543e-290,"0","TESC"
"TNFSF13B",5.66092745532374e-276,-2.01817909152502,0.056,0.164,1.13218549106475e-272,"0","TNFSF13B"
"SLAMF7",1.95923192977598e-272,0.668337733931443,0.327,0.192,3.91846385955196e-269,"0","SLAMF7"
"CLECL1",1.69230862666326e-271,1.15075408149174,0.197,0.097,3.38461725332651e-268,"0","CLECL1"
"DUSP4",1.79705089384645e-271,0.616169910981276,0.417,0.268,3.5941017876929e-268,"0","DUSP4"
"CARS",9.28119587697763e-269,0.930710621860313,0.298,0.177,1.85623917539553e-265,"0","CARS"
"CD96",1.51199904860625e-266,0.32506727610763,0.839,0.713,3.02399809721249e-263,"0","CD96"
"CCR4",4.28027887849093e-263,-3.57057785633253,0.016,0.1,8.56055775698187e-260,"0","CCR4"
"MAF",1.83058965538861e-261,-1.6500184419165,0.093,0.209,3.66117931077721e-258,"0","MAF"
"SLAMF8",8.61910586562396e-260,1.5707637421376,0.11,0.04,1.72382117312479e-256,"0","SLAMF8"
"NUCB2",3.84493537275004e-248,0.503334209961612,0.52,0.371,7.68987074550008e-245,"0","NUCB2"
"CCL3",4.58787439622282e-247,0.928156956836506,0.207,0.107,9.17574879244565e-244,"0","CCL3"
"MAL",1.56586953741557e-242,-1.50171063974143,0.085,0.194,3.13173907483115e-239,"0","MAL"
"PTGER4",6.67054138687221e-242,0.335214458291325,0.826,0.691,1.33410827737444e-238,"0","PTGER4"
"TMEM173",2.30107083764295e-234,-0.968393177684981,0.233,0.355,4.6021416752859e-231,"0","TMEM173"
"CKLF",4.85834156996709e-226,0.389711280544395,0.832,0.742,9.71668313993418e-223,"0","CKLF"
"FCRL6",2.5654362008831e-223,0.90603741260511,0.171,0.083,5.1308724017662e-220,"0","FCRL6"
"GPR171",4.47728450440124e-222,0.571274501816957,0.414,0.283,8.95456900880248e-219,"0","GPR171"
"INPP4B",4.01256204923088e-213,-0.87546935324726,0.29,0.403,8.02512409846176e-210,"0","INPP4B"
"CAPG",3.8174782946282e-211,0.590099293024394,0.476,0.351,7.6349565892564e-208,"0","CAPG"
"TNFSF9",4.62159631842726e-211,0.608245518387519,0.353,0.232,9.24319263685453e-208,"0","TNFSF9"
"KLRC1",2.43111051174001e-210,1.01528633912034,0.112,0.046,4.86222102348002e-207,"0","KLRC1"
"NELL2",2.75255951267004e-210,1.1253159708596,0.154,0.074,5.50511902534008e-207,"0","NELL2"
"IDH2",3.52973523023749e-209,0.424678817647232,0.66,0.536,7.05947046047498e-206,"0","IDH2"
"DBN1",1.67468076378063e-208,0.921349313805361,0.156,0.076,3.34936152756126e-205,"0","DBN1"
"KLRG1",5.06872079459358e-208,-1.43073410183093,0.115,0.218,1.01374415891872e-204,"0","KLRG1"
"NFKBIA",4.61922777632786e-206,-0.704134779748127,0.627,0.71,9.23845555265572e-203,"0","NFKBIA"
"AC022706.1",2.02771428702484e-204,0.892124484753467,0.195,0.105,4.05542857404969e-201,"0","AC022706.1"
"TRGV10",9.94721717602851e-203,0.994797683865422,0.232,0.136,1.9894434352057e-199,"0","TRGV10"
"PTMS",1.53994112355013e-201,0.577093362658504,0.375,0.253,3.07988224710026e-198,"0","PTMS"
"ABCB1",7.42302474215127e-201,0.67433120382029,0.264,0.158,1.48460494843025e-197,"0","ABCB1"
"NMUR1",1.26004773667889e-199,1.05007943257973,0.136,0.063,2.52009547335777e-196,"0","NMUR1"
"CYTOR",1.07711142528682e-198,0.466407407368818,0.605,0.479,2.15422285057364e-195,"0","CYTOR"
"CXCR6",1.85501583636778e-197,0.567151210218471,0.525,0.399,3.71003167273557e-194,"0","CXCR6"
"CD55",1.71407011299668e-196,0.562784334284542,0.437,0.315,3.42814022599336e-193,"0","CD55"
"TRGV2",5.98642387057093e-195,0.676939160106032,0.195,0.106,1.19728477411419e-191,"0","TRGV2"
"CD63",6.25947030044208e-193,0.291654700612252,0.627,0.481,1.25189406008842e-189,"0","CD63"
"MT1F",5.23635116825372e-191,0.700883410322891,0.282,0.177,1.04727023365074e-187,"0","MT1F"
"ITGB2",2.24125275022861e-187,-0.468062648598646,0.521,0.622,4.48250550045722e-184,"0","ITGB2"
"CCR7",9.47588533393717e-187,-1.11203971621265,0.09,0.187,1.89517706678743e-183,"0","CCR7"
"CBLB",1.70730274268102e-186,0.441699443735642,0.575,0.45,3.41460548536204e-183,"0","CBLB"
"GNLY",1.31857412018334e-185,0.790531385727456,0.261,0.158,2.63714824036668e-182,"0","GNLY"
"GAPDH",1.51966021750349e-181,0.16347108612486,0.995,0.985,3.03932043500698e-178,"0","GAPDH"
"JUNB",3.94219797157658e-177,-0.444602779171831,0.96,0.955,7.88439594315317e-174,"0","JUNB"
"IL7R",4.41551996433649e-177,-0.68769046009808,0.648,0.688,8.83103992867298e-174,"0","IL7R"
"LDLRAD4",4.54595723514855e-176,0.501284524715158,0.408,0.291,9.09191447029709e-173,"0","LDLRAD4"
"TRGV7",2.88926033430413e-174,1.13073832678004,0.141,0.071,5.77852066860826e-171,"0","TRGV7"
"SYTL3",1.08437830177919e-172,0.378038965145972,0.597,0.469,2.16875660355837e-169,"0","SYTL3"
"GPR82",2.22159543528553e-170,1.20068204117691,0.116,0.054,4.44319087057106e-167,"0","GPR82"
"RAB27A",2.37698588700007e-169,0.437721822510879,0.496,0.374,4.75397177400015e-166,"0","RAB27A"
"ARPC2",3.6707183138686e-166,0.190899737753823,0.971,0.932,7.3414366277372e-163,"0","ARPC2"
"DPP4",6.31148979223208e-165,-1.52239934477788,0.069,0.15,1.26229795844642e-161,"0","DPP4"
"TNIP3",1.27278805537079e-158,0.73111855983026,0.185,0.106,2.54557611074158e-155,"0","TNIP3"
"PBXIP1",1.01880125309559e-157,-0.668757452605268,0.482,0.556,2.03760250619118e-154,"0","PBXIP1"
"FCMR",1.66273109750036e-157,-0.636795821154605,0.514,0.586,3.32546219500071e-154,"0","FCMR"
"ZEB2",1.24897619967168e-156,0.680088962904557,0.202,0.12,2.49795239934336e-153,"0","ZEB2"
"GPR65",7.14615598427081e-156,0.387949600046626,0.531,0.408,1.42923119685416e-152,"0","GPR65"
"UBXN11",4.13068781215096e-155,0.678165672957625,0.285,0.19,8.26137562430192e-152,"0","UBXN11"
"IGHV1-3",5.93136930072027e-155,0.317536447559982,0.102,0.046,1.18627386014405e-151,"0","IGHV1-3"
"CORO1A",3.83764926718303e-154,0.18117980687612,0.99,0.972,7.67529853436607e-151,"0","CORO1A"
"S100A11",1.70485050978396e-153,-0.394386496358397,0.74,0.775,3.40970101956792e-150,"0","S100A11"
"SPINK2",1.31640626517248e-152,0.879851909839992,0.165,0.092,2.63281253034495e-149,"0","SPINK2"
"PLA2G16",5.07886513908563e-152,0.504947340578691,0.305,0.202,1.01577302781713e-148,"0","PLA2G16"
"HLA-DRA",7.22163410598609e-149,-0.387429480755332,0.275,0.178,1.44432682119722e-145,"0","HLA-DRA"
"LGALS1",9.96033303968107e-149,0.329586941213765,0.508,0.387,1.99206660793621e-145,"0","LGALS1"
"TBC1D4",2.52363599207587e-144,-2.14445457745549,0.051,0.119,5.04727198415174e-141,"0","TBC1D4"
"GSTP1",6.20851880383507e-144,0.218600481346264,0.741,0.607,1.24170376076701e-140,"0","GSTP1"
"HMGA1",1.51042702115299e-143,0.419145900037621,0.534,0.422,3.02085404230599e-140,"0","HMGA1"
"LAT2",1.33938844602041e-141,-1.75221117275155,0.044,0.109,2.67877689204082e-138,"0","LAT2"
"TRGC2",1.15592471164009e-140,0.534803401248318,0.203,0.123,2.31184942328017e-137,"0","TRGC2"
"HMGB1",1.22088308916756e-140,0.106338269104269,0.956,0.916,2.44176617833512e-137,"0","HMGB1"
"ASB2",3.39407369801188e-140,0.415273765008023,0.413,0.303,6.78814739602375e-137,"0","ASB2"
"OASL",7.23384875858349e-140,0.663260364046276,0.199,0.121,1.4467697517167e-136,"0","OASL"
"TRGV9",6.69645863691501e-133,0.615595616956171,0.124,0.064,1.339291727383e-129,"0","TRGV9"
"CFL1",1.1272589708827e-131,0.135048476030533,0.995,0.982,2.2545179417654e-128,"0","CFL1"
"RASGEF1B",1.92451813143341e-131,0.543273803177823,0.316,0.221,3.84903626286683e-128,"0","RASGEF1B"
"GADD45B",8.5293289734275e-130,0.290241364701922,0.59,0.483,1.7058657946855e-126,"0","GADD45B"
"GK",2.525995679099e-127,-1.63808823928725,0.058,0.124,5.05199135819801e-124,"0","GK"
"GPR18",4.26568667464823e-125,0.59517460051208,0.24,0.159,8.53137334929646e-122,"0","GPR18"
"IKZF2",1.05866522994295e-124,-1.29925367763752,0.066,0.133,2.11733045988589e-121,"0","IKZF2"
"APP",9.71919455900104e-124,-1.69134084641036,0.042,0.101,1.94383891180021e-120,"0","APP"
"NR4A2",7.23336906047035e-123,0.231855961456218,0.887,0.812,1.44667381209407e-119,"0","NR4A2"
"C20orf204",2.65210221526639e-122,0.872146068607607,0.122,0.065,5.30420443053277e-119,"0","C20orf204"
"S100A6",6.04524963612959e-122,0.145558855438571,0.945,0.869,1.20904992722592e-118,"0","S100A6"
"PHACTR2",8.80295594539678e-121,-1.20779940099711,0.079,0.148,1.76059118907936e-117,"0","PHACTR2"
"NCF4",1.50180644739979e-119,-0.856147554995888,0.164,0.245,3.00361289479958e-116,"0","NCF4"
"FRMD4B",2.83215975154082e-119,-1.15628349905361,0.082,0.152,5.66431950308164e-116,"0","FRMD4B"
"CORO1B",4.07900104975892e-118,-0.625376841095846,0.436,0.503,8.15800209951783e-115,"0","CORO1B"
"LINC00402",7.36553339555755e-118,-1.41641719130468,0.062,0.125,1.47310667911151e-114,"0","LINC00402"
"IL6ST",1.35195979568479e-117,-1.03791475917267,0.172,0.251,2.70391959136958e-114,"0","IL6ST"
"CD79B",2.52017152175732e-117,-1.36513753470598,0.058,0.121,5.04034304351463e-114,"0","CD79B"
"HIC1",4.0035094964106e-117,0.608508352183895,0.207,0.133,8.0070189928212e-114,"0","HIC1"
"SPART",8.25554117796978e-116,-1.24062762230839,0.065,0.129,1.65110823559396e-112,"0","SPART"
"TNFRSF25",7.20767433571664e-115,-0.891186416256902,0.191,0.269,1.44153486714333e-111,"0","TNFRSF25"
"ITGB2-AS1",2.26444012598619e-114,-1.27016887109273,0.081,0.148,4.52888025197237e-111,"0","ITGB2-AS1"
"CNN2",2.81656986752377e-114,0.273193417416509,0.801,0.727,5.63313973504754e-111,"0","CNN2"
"EVI2A",5.55733988428059e-114,0.360292492713982,0.522,0.42,1.11146797685612e-110,"0","EVI2A"
"PDE3B",2.17419290060925e-112,0.420006208590038,0.331,0.241,4.34838580121851e-109,"0","PDE3B"
"ARID5B",4.28474071229428e-110,-0.717132408215367,0.251,0.333,8.56948142458856e-107,"0","ARID5B"
"PIM2",1.60910169245563e-109,-0.622307063731122,0.442,0.51,3.21820338491126e-106,"0","PIM2"
"TRAV19",1.82621780539071e-109,1.27805216351015,0.109,0.06,3.65243561078141e-106,"0","TRAV19"
"MAP3K8",7.22024461910147e-109,0.275746307660825,0.497,0.394,1.44404892382029e-105,"0","MAP3K8"
"SYTL2",3.29703680788076e-106,0.393464599329325,0.325,0.236,6.59407361576152e-103,"0","SYTL2"
"TRGV8",1.35278924140233e-105,0.545032617025109,0.112,0.061,2.70557848280465e-102,"0","TRGV8"
"CMTM8",2.01438924185576e-105,-1.11430791572708,0.106,0.173,4.02877848371152e-102,"0","CMTM8"
"SERPINB9",8.86947266887945e-105,0.428645751359879,0.358,0.269,1.77389453377589e-101,"0","SERPINB9"
"APOBEC3G",2.67459549204515e-102,0.267042989662648,0.518,0.415,5.34919098409031e-99,"0","APOBEC3G"
"CD59",1.0370227652569e-101,-0.92320035757125,0.127,0.198,2.0740455305138e-98,"0","CD59"
"FOS",1.43253581623319e-101,-0.407979939368594,0.869,0.903,2.86507163246638e-98,"0","FOS"
"AC016831.7",1.45016323960533e-101,0.275305509984982,0.57,0.471,2.90032647921066e-98,"0","AC016831.7"
"IL2RB",7.442786759421e-101,0.149192764130252,0.656,0.533,1.4885573518842e-97,"0","IL2RB"
"LYAR",1.21572307606812e-99,0.447234673795019,0.405,0.319,2.43144615213623e-96,"0","LYAR"
"DUSP2",3.10919335439409e-98,0.154178470163185,0.812,0.735,6.21838670878819e-95,"0","DUSP2"
"GBP5",2.2205349952704e-97,0.316485874969123,0.537,0.441,4.4410699905408e-94,"0","GBP5"
"SPOCK2",4.08103535950268e-97,-0.383605709686724,0.69,0.71,8.16207071900536e-94,"0","SPOCK2"
"GPR35",9.12710938415477e-95,0.83532125080539,0.119,0.069,1.82542187683095e-91,"0","GPR35"
"TUBA1B",4.78487174622816e-94,-0.83526735171859,0.663,0.687,9.56974349245633e-91,"0","TUBA1B"
"SPINT2",4.37381965663433e-93,-0.948746529624377,0.105,0.169,8.74763931326866e-90,"0","SPINT2"
"LGALS3BP",4.60765797578896e-93,-1.04146095129526,0.09,0.15,9.21531595157793e-90,"0","LGALS3BP"
"TCF7",1.48861680472163e-92,-0.655145604600544,0.232,0.306,2.97723360944327e-89,"0","TCF7"
"AP3M2",7.47435987676229e-92,-0.974813582186468,0.119,0.184,1.49487197535246e-88,"0","AP3M2"
"PLAC8",1.27220362922883e-91,-0.793658569897738,0.153,0.221,2.54440725845765e-88,"0","PLAC8"
"F2R",2.43937742145227e-90,0.364977214493485,0.257,0.181,4.87875484290454e-87,"0","F2R"
"ID3",7.40221519467223e-90,-1.1563960248454,0.091,0.151,1.48044303893445e-86,"0","ID3"
"KLRC2",1.00469144390962e-89,0.171580769546734,0.187,0.12,2.00938288781924e-86,"0","KLRC2"
"CD38",1.54357469841971e-89,0.499576981417768,0.31,0.236,3.08714939683942e-86,"0","CD38"
"IFNGR1",3.56074312465006e-88,-0.67994046050103,0.237,0.305,7.12148624930013e-85,"0","IFNGR1"
"GPR15",3.78305542670659e-87,0.310619624932215,0.347,0.262,7.56611085341318e-84,"0","GPR15"
"ARHGDIB",7.07736411836278e-87,0.106034452103519,0.996,0.984,1.41547282367256e-83,"0","ARHGDIB"
"NBL1",7.06843555784942e-86,0.470794797341245,0.238,0.169,1.41368711156988e-82,"0","NBL1"
"ACTG1",2.00995199233387e-85,0.161796862109184,0.998,0.992,4.01990398466774e-82,"0","ACTG1"
"NR4A3",8.59565673241746e-84,0.337641390940671,0.343,0.262,1.71913134648349e-80,"0","NR4A3"
"FOSL2",2.65654459963966e-83,0.392513723207718,0.305,0.228,5.31308919927932e-80,"0","FOSL2"
"RAB37",2.88310994940954e-82,0.47903943012018,0.271,0.202,5.76621989881909e-79,"0","RAB37"
"AUTS2",7.45991896821444e-82,0.511844740152493,0.197,0.135,1.49198379364289e-78,"0","AUTS2"
"TOGARAM2",1.77382847492743e-81,0.786032698648988,0.117,0.071,3.54765694985487e-78,"0","TOGARAM2"
"FTH1",3.74656123806383e-81,-0.248819715966101,0.998,0.993,7.49312247612766e-78,"0","FTH1"
"ANXA5",3.98576019092823e-81,0.217254432862347,0.589,0.492,7.97152038185647e-78,"0","ANXA5"
