"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD8B",0,2.17534672240237,0.894,0.251,0,"0","CD8B"
"CD8A",0,1.94300898834244,0.934,0.307,0,"0","CD8A"
"NKG7",0,0.939121496303193,0.895,0.458,0,"0","NKG7"
"CD40LG",0,-2.59382769904422,0.099,0.44,0,"0","CD40LG"
"CD4",0,-3.17111342488086,0.068,0.399,0,"0","CD4"
"GZMB",0,1.28639067886472,0.482,0.199,0,"0","GZMB"
"GZMA",0,0.347898835201832,0.717,0.439,0,"0","GZMA"
"IFNG",0,1.15503709897779,0.478,0.226,0,"0","IFNG"
"PRF1",0,0.787950673205469,0.69,0.439,0,"0","PRF1"
"TNFRSF4",0,-3.17664123660815,0.061,0.259,0,"0","TNFRSF4"
"GZMH",0,0.757437775689254,0.337,0.148,0,"0","GZMH"
"TNFRSF18",0,-2.1543171789585,0.093,0.259,0,"0","TNFRSF18"
"ICOS",0,-0.89340139148367,0.375,0.518,0,"0","ICOS"
"LTB",0,-1.01101112929267,0.611,0.749,0,"0","LTB"
"CCR7",9.47588533393717e-187,-1.11203971621265,0.09,0.187,1.89517706678743e-183,"0","CCR7"
"GNLY",1.31857412018334e-185,0.790531385727456,0.261,0.158,2.63714824036668e-182,"0","GNLY"
"IL7R",4.41551996433649e-177,-0.68769046009808,0.648,0.688,8.83103992867298e-174,"0","IL7R"
"TBX21",1.86981319879354e-80,0.389070670326159,0.289,0.216,3.73962639758707e-77,"0","TBX21"
"SELL",6.15620792318689e-78,-0.653311984112751,0.104,0.164,1.23124158463738e-74,"0","SELL"
"CTLA4",2.50852993407272e-51,-0.75307488421655,0.249,0.299,5.01705986814544e-48,"0","CTLA4"
"TIGIT",3.63595642834675e-47,-0.132096498408527,0.469,0.368,7.2719128566935e-44,"0","TIGIT"
"GZMK",0.000118085725775597,-0.647840931911719,0.236,0.206,0.236171451551195,"0","GZMK"
"CD8B.1",0,-3.19315783312556,0.057,0.476,0,"1","CD8B"
"CD40LG.1",0,1.59631368190442,0.696,0.279,0,"1","CD40LG"
"TIGIT.1",0,-3.25869851923883,0.073,0.473,0,"1","TIGIT"
"CD8A.1",0,-3.04011574059307,0.134,0.523,0,"1","CD8A"
"IL7R.1",0,1.31202204412414,0.952,0.607,0,"1","IL7R"
"NKG7.1",0,-2.41952408015778,0.338,0.608,0,"1","NKG7"
"GZMB.1",0,-3.24121552471521,0.051,0.315,0,"1","GZMB"
"GZMA.1",0,-2.60912664767838,0.299,0.551,0,"1","GZMA"
"CD4.1",0,0.995759745027085,0.522,0.276,0,"1","CD4"
"CTLA4.1",0,-2.23735672851822,0.096,0.34,0,"1","CTLA4"
"PRF1.1",0,-1.28745078821257,0.331,0.535,0,"1","PRF1"
"GZMH.1",0,-2.64639231219317,0.054,0.224,0,"1","GZMH"
"SELL.1",0,-3.78251433644375,0.017,0.187,0,"1","SELL"
"GNLY.1",0,-2.4102584581914,0.053,0.214,0,"1","GNLY"
"GZMK.1",0,-2.15116782155651,0.1,0.242,0,"1","GZMK"
"CCR7.1",3.53389561605604e-305,-2.09832894893625,0.069,0.192,7.06779123211208e-302,"1","CCR7"
"IFNG.1",2.24741714845498e-159,-0.179130833342351,0.187,0.304,4.49483429690997e-156,"1","IFNG"
"RORA",1.87970591938035e-123,0.338858523300434,0.592,0.519,3.75941183876071e-120,"1","RORA"
"GATA3",3.48649335441481e-110,0.480738864327488,0.531,0.477,6.97298670882961e-107,"1","GATA3"
"LTB.1",9.36994190929991e-80,-0.152997763767651,0.831,0.69,1.87398838185998e-76,"1","LTB"
"ICOS.1",1.05287701391601e-62,0.179658496572201,0.535,0.474,2.10575402783203e-59,"1","ICOS"
"TNFRSF4.1",1.50708907705073e-40,-0.509080186665121,0.261,0.205,3.01417815410146e-37,"1","TNFRSF4"
"TNFRSF18.1",3.4942182106752e-14,-0.741275412486635,0.205,0.228,6.9884364213504e-11,"1","TNFRSF18"
"NKG7.2",0,-4.31631226015067,0.104,0.617,0,"2","NKG7"
"CCR7.2",0,2.83896077673206,0.594,0.104,0,"2","CCR7"
"CD8A.2",0,-4.07297557675917,0.047,0.499,0,"2","CD8A"
"GZMA.2",0,-3.91128775742012,0.126,0.552,0,"2","GZMA"
"CD8B.2",0,-3.7767685364906,0.042,0.439,0,"2","CD8B"
"PRF1.2",0,-2.62191209783661,0.169,0.54,0,"2","PRF1"
"GZMB.2",0,-5.09502787347209,0.015,0.295,0,"2","GZMB"
"CD40LG.2",0,0.667761431871154,0.604,0.332,0,"2","CD40LG"
"SELL.2",0,2.02977521363199,0.376,0.119,0,"2","SELL"
"IFNG.2",0,-3.5127484099142,0.065,0.311,0,"2","IFNG"
"LTB.2",0,0.893822918723935,0.93,0.689,0,"2","LTB"
"TIGIT.2",0,-1.42878579235164,0.2,0.417,0,"2","TIGIT"
"CD4.2",0,0.725821366365182,0.513,0.301,0,"2","CD4"
"GZMH.2",0,-5.12315701305,0.011,0.215,0,"2","GZMH"
"GNLY.2",0,-2.66830668402098,0.037,0.201,0,"2","GNLY"
"IL7R.2",2.6971816688718e-306,0.390714317406345,0.873,0.651,5.3943633377436e-303,"2","IL7R"
"TBX21.1",2.17650396587289e-283,-1.7011731429778,0.085,0.253,4.35300793174578e-280,"2","TBX21"
"GZMK.2",2.00133575498691e-252,-2.21535179595334,0.082,0.232,4.00267150997382e-249,"2","GZMK"
"ICOS.2",4.68583191976627e-195,0.531642576606317,0.611,0.469,9.37166383953255e-192,"2","ICOS"
"TNFRSF18.2",5.39629784427073e-156,-1.67039981596462,0.121,0.238,1.07925956885415e-152,"2","TNFRSF18"
"RORA.1",1.54433267580538e-50,-0.361648136283894,0.467,0.544,3.08866535161075e-47,"2","RORA"
"GATA3.1",9.10448940051404e-13,-0.178452417421253,0.45,0.494,1.82089788010281e-09,"2","GATA3"
"STAT1",2.30687091324045e-10,-0.136905713293308,0.481,0.52,4.6137418264809e-07,"2","STAT1"
"TIGIT.3",0,1.43508907722212,0.796,0.343,0,"3","TIGIT"
"NKG7.3",0,0.814802957936509,0.952,0.506,0,"3","NKG7"
"GNLY.3",0,2.20351359442567,0.578,0.135,0,"3","GNLY"
"GZMB.3",0,0.876699724628275,0.626,0.217,0,"3","GZMB"
"GZMA.3",0,2.69064860104507,0.859,0.457,0,"3","GZMA"
"LTB.3",0,-2.59163662874552,0.364,0.761,0,"3","LTB"
"CD40LG.3",0,-4.39661002203742,0.043,0.404,0,"3","CD40LG"
"PRF1.3",0,0.953857343225339,0.792,0.458,0,"3","PRF1"
"CD4.3",0,-4.58162759209988,0.031,0.362,0,"3","CD4"
"ICOS.3",0,-2.03000091491059,0.22,0.517,0,"3","ICOS"
"TNFRSF18.3",0,1.25262724090813,0.464,0.196,0,"3","TNFRSF18"
"RORA.2",0,-1.35322301987561,0.321,0.559,0,"3","RORA"
"IL7R.3",0,-1.80936517289313,0.475,0.703,0,"3","IL7R"
"CTLA4.2",0,-2.67302747177357,0.085,0.312,0,"3","CTLA4"
"TNFRSF4.2",0,-3.83305018201793,0.044,0.236,0,"3","TNFRSF4"
"STAT1.1",0,-1.41695560597977,0.346,0.534,0,"3","STAT1"
"CCR7.3",0,-4.9309170420246,0.014,0.183,0,"3","CCR7"
"SELL.3",4.56153729538341e-287,-5.30211392326063,0.011,0.168,9.12307459076682e-284,"3","SELL"
"GZMK.3",7.80193279163694e-250,-3.16688204424244,0.069,0.229,1.56038655832739e-246,"3","GZMK"
"CD8A.3",1.2226458826072e-208,0.31184882104122,0.684,0.413,2.44529176521439e-205,"3","CD8A"
"CD8B.3",1.36370646505664e-156,0.111059887792345,0.6,0.364,2.72741293011327e-153,"3","CD8B"
"TBX21.2",1.07288916763149e-52,0.39118120112592,0.303,0.223,2.14577833526299e-49,"3","TBX21"
"IFNG.3",9.34903403555542e-34,-1.14482898028799,0.232,0.285,1.86980680711108e-30,"3","IFNG"
"GZMH.3",2.29090303073673e-27,-1.75291456017001,0.157,0.192,4.58180606147346e-24,"3","GZMH"
"GATA3.2",7.63012940133104e-14,-0.210450602772792,0.456,0.492,1.52602588026621e-10,"3","GATA3"
"CTLA4.3",0,2.68408641531903,0.821,0.229,0,"4","CTLA4"
"FOXP3",0,5.59188210345233,0.525,0.028,0,"4","FOXP3"
"NKG7.4",0,-2.53620437446879,0.158,0.596,0,"4","NKG7"
"TNFRSF4.3",0,3.21504899718211,0.609,0.172,0,"4","TNFRSF4"
"TIGIT.4",0,1.80502483861454,0.749,0.349,0,"4","TIGIT"
"CD8A.4",0,-2.47110629092252,0.116,0.478,0,"4","CD8A"
"GZMA.4",0,-2.62167096556872,0.176,0.535,0,"4","GZMA"
"TNFRSF18.4",0,2.5155361890775,0.543,0.187,0,"4","TNFRSF18"
"CD4.4",0,1.1891364623127,0.608,0.296,0,"4","CD4"
"CD8B.4",0,-2.69191621455194,0.109,0.42,0,"4","CD8B"
"SELL.4",0,1.61632114272701,0.414,0.122,0,"4","SELL"
"ICOS.4",0,1.12668343081125,0.729,0.46,0,"4","ICOS"
"IL2RA",0,3.28135764631905,0.304,0.06,0,"4","IL2RA"
"IL7R.4",0,-1.89493100499765,0.46,0.704,0,"4","IL7R"
"GZMB.4",0,-1.02890173317033,0.071,0.281,0,"4","GZMB"
"LTB.4",0,1.22873690018757,0.896,0.7,0,"4","LTB"
"PRF1.4",3.18044096850058e-241,-1.23584812796781,0.348,0.509,6.36088193700116e-238,"4","PRF1"
"IFNG.4",2.35855242931853e-234,-1.73578502759047,0.121,0.297,4.71710485863706e-231,"4","IFNG"
"GZMH.4",4.69022269002707e-229,-2.59765758157485,0.052,0.204,9.38044538005415e-226,"4","GZMH"
"GNLY.4",4.56646239092371e-196,-2.78908764431613,0.057,0.194,9.13292478184741e-193,"4","GNLY"
"CCR7.4",3.22149839813431e-190,0.828867790017142,0.289,0.152,6.44299679626862e-187,"4","CCR7"
"GZMK.4",7.06462373560206e-189,-2.10191125279299,0.085,0.227,1.41292474712041e-185,"4","GZMK"
"STAT1.2",1.32996295361415e-72,0.439703187537926,0.605,0.505,2.65992590722831e-69,"4","STAT1"
"TBX21.3",1.6496208292098e-54,-0.658367031756387,0.164,0.239,3.29924165841959e-51,"4","TBX21"
"RORA.3",4.19206857452615e-13,0.157878832276525,0.571,0.53,8.38413714905231e-10,"4","RORA"
"GATA3.3",4.48553956920426e-11,0.147634536378061,0.528,0.484,8.97107913840851e-08,"4","GATA3"
"CD40LG.4",2.22011941708915e-10,-0.226123593465305,0.347,0.369,4.4402388341783e-07,"4","CD40LG"
"GZMK.5",0,4.2083060113152,0.943,0.136,0,"5","GZMK"
"GZMA.5",0,0.662484622735984,0.959,0.45,0,"5","GZMA"
"GZMH.5",0,3.25923091793437,0.635,0.142,0,"5","GZMH"
"IL7R.5",0,-2.54666710789975,0.255,0.724,0,"5","IL7R"
"NKG7.5",0,2.17248303429364,0.933,0.512,0,"5","NKG7"
"CD8A.5",0,1.33899535841154,0.804,0.403,0,"5","CD8A"
"CD8B.5",0,1.32853047169309,0.747,0.351,0,"5","CD8B"
"CD40LG.5",0,-3.52350163935208,0.044,0.4,0,"5","CD40LG"
"IFNG.5",0,1.63057375512456,0.566,0.25,0,"5","IFNG"
"PRF1.5",0,1.35763859971667,0.741,0.467,0,"5","PRF1"
"CD4.5",0,-1.90502723584864,0.091,0.353,0,"5","CD4"
"RORA.4",0,-1.11039216641111,0.31,0.558,0,"5","RORA"
"TNFRSF18.5",0,-3.21304624025023,0.039,0.243,0,"5","TNFRSF18"
"GZMB.5",0,1.14204489511771,0.43,0.242,0,"5","GZMB"
"LTB.5",0,-1.18528065451828,0.554,0.737,0,"5","LTB"
"TNFRSF4.4",1.84285506382735e-297,-3.35337456024154,0.044,0.235,3.68571012765471e-294,"5","TNFRSF4"
"TIGIT.5",1.85927649449648e-264,0.616575737655473,0.574,0.37,3.71855298899297e-261,"5","TIGIT"
"ICOS.5",2.75214912964563e-91,-0.632445047540661,0.37,0.499,5.50429825929126e-88,"5","ICOS"
"TBX21.4",3.02352682790501e-42,0.707243890987925,0.279,0.226,6.04705365581002e-39,"5","TBX21"
"CCR7.5",2.03820355457636e-25,-0.779825503175761,0.124,0.17,4.07640710915272e-22,"5","CCR7"
"GATA3.4",2.13828721997923e-22,-0.257722315026871,0.416,0.496,4.27657443995846e-19,"5","GATA3"
"SELL.5",1.56742564862055e-08,0.118532837483558,0.175,0.149,3.1348512972411e-05,"5","SELL"
"CD40LG.6",0,1.20763909418271,0.719,0.331,0,"6","CD40LG"
"TIGIT.6",0,-3.07321523106002,0.096,0.419,0,"6","TIGIT"
"CD8B.6",0,-2.82920394930824,0.1,0.417,0,"6","CD8B"
"IL7R.6",0,1.2649355255553,0.95,0.652,0,"6","IL7R"
"RORA.5",0,1.02819826134491,0.795,0.508,0,"6","RORA"
"CD8A.6",0,-1.69698848582838,0.211,0.464,0,"6","CD8A"
"LTB.6",0,0.949109242533104,0.936,0.698,0,"6","LTB"
"GZMB.6",0,-3.14583862754698,0.059,0.28,0,"6","GZMB"
"NKG7.6",0,-1.78958661333199,0.4,0.567,0,"6","NKG7"
"IL17A",0,4.7829002740448,0.174,0.011,0,"6","IL17A"
"GZMH.6",6.98733095160752e-266,-3.6919228778788,0.032,0.205,1.3974661903215e-262,"6","GZMH"
"SELL.6",3.75777752403473e-222,-3.94759415241656,0.02,0.165,7.51555504806946e-219,"6","SELL"
"GZMA.6",7.49798157507102e-218,-1.88863191518657,0.372,0.511,1.4995963150142e-214,"6","GZMA"
"IFNG.6",1.61722812487009e-213,-2.0213699787211,0.12,0.296,3.23445624974018e-210,"6","IFNG"
"PRF1.6",2.40100510431992e-189,-1.05237475817413,0.339,0.508,4.80201020863983e-186,"6","PRF1"
"CD4.6",2.03385442949946e-160,0.483797212197141,0.492,0.311,4.06770885899892e-157,"6","CD4"
"GNLY.5",8.96231711994519e-139,-2.7189109158149,0.072,0.191,1.79246342398904e-135,"6","GNLY"
"GZMK.6",4.04650534367255e-135,-1.90730108173375,0.099,0.224,8.0930106873451e-132,"6","GZMK"
"CCR7.6",4.63196310047451e-107,-1.9427931977075,0.074,0.175,9.26392620094902e-104,"6","CCR7"
"ICOS.6",5.29623773709654e-62,0.302337930949385,0.583,0.477,1.05924754741931e-58,"6","ICOS"
"CTLA4.4",1.25341232411757e-31,-0.779681440159274,0.237,0.294,2.50682464823515e-28,"6","CTLA4"
"TBX21.5",3.64050499335216e-23,-0.492065862074135,0.185,0.236,7.28100998670431e-20,"6","TBX21"
"STAT1.3",1.2518541467244e-15,0.31145935188628,0.547,0.512,2.5037082934488e-12,"6","STAT1"
"TNFRSF18.6",0.00758921659849922,-0.359037602292741,0.245,0.221,1,"6","TNFRSF18"
"IFNG.7",0,0.609182228621187,0.693,0.264,0,"7","IFNG"
"CTLA4.5",0,0.48715515004642,0.684,0.273,0,"7","CTLA4"
"GZMB.7",0,1.91154740485618,0.63,0.245,0,"7","GZMB"
"GNLY.6",0,1.92636082658561,0.535,0.166,0,"7","GNLY"
"IL7R.7",0,-2.69968186733204,0.401,0.69,0,"7","IL7R"
"GZMH.7",7.55927252979971e-287,0.973821504352356,0.469,0.178,1.51185450595994e-283,"7","GZMH"
"GZMA.7",1.64992895116768e-285,0.96731833582043,0.816,0.486,3.29985790233536e-282,"7","GZMA"
"LTB.7",3.24774200799152e-237,-1.33183518494725,0.519,0.727,6.49548401598305e-234,"7","LTB"
"NKG7.7",3.38213074000385e-236,0.662830624985632,0.857,0.54,6.7642614800077e-233,"7","NKG7"
"PRF1.7",1.72182074483398e-173,0.629696302260863,0.822,0.48,3.44364148966796e-170,"7","PRF1"
"TBX21.6",5.75044583101474e-128,0.207668705731199,0.489,0.221,1.15008916620295e-124,"7","TBX21"
"CD8B.7",8.4578623833445e-112,0.462460677465133,0.631,0.379,1.6915724766689e-108,"7","CD8B"
"CD8A.7",9.32594721421778e-95,0.471444356284306,0.662,0.433,1.86518944284356e-91,"7","CD8A"
"GZMK.7",4.89125829843371e-69,-0.364529489201544,0.383,0.206,9.78251659686742e-66,"7","GZMK"
"CD40LG.7",2.12075634982201e-55,-1.31780274174525,0.262,0.371,4.24151269964403e-52,"7","CD40LG"
"TNFRSF18.7",5.36066713213927e-40,0.228666486416252,0.347,0.219,1.07213342642785e-36,"7","TNFRSF18"
"CCR7.7",4.85787363028247e-37,-2.23777930066131,0.086,0.169,9.71574726056494e-34,"7","CCR7"
"TIGIT.7",1.14378989198141e-32,-0.292379750677883,0.61,0.381,2.28757978396282e-29,"7","TIGIT"
"CD4.7",4.76692570680232e-18,-0.948617435261533,0.301,0.329,9.53385141360464e-15,"7","CD4"
"FOXP3.1",5.49122808543488e-07,-0.397844443709686,0.105,0.077,0.00109824561708698,"7","FOXP3"
"CTLA4.6",9.42481069996427e-93,2.26494244135214,0.519,0.286,1.88496213999285e-89,"8","CTLA4"
"ICOS.7",4.0882466797349e-86,1.88388017211506,0.632,0.485,8.17649335946981e-83,"8","ICOS"
"RORA.6",6.96688657539053e-50,1.60547219235042,0.583,0.534,1.39337731507811e-46,"8","RORA"
"NKG7.8",4.46976739566932e-46,-0.917483901731431,0.268,0.555,8.93953479133864e-43,"8","NKG7"
"CCR7.8",1.16941182467453e-39,2.28321020045692,0.3,0.164,2.33882364934906e-36,"8","CCR7"
"GZMA.8",4.76781241712022e-30,-0.753521072379675,0.274,0.501,9.53562483424044e-27,"8","GZMA"
"CD8B.8",4.8671078054958e-30,-0.778116175366299,0.183,0.391,9.7342156109916e-27,"8","CD8B"
"SELL.7",2.29209439394181e-21,2.10252459396829,0.244,0.15,4.58418878788361e-18,"8","SELL"
"LTB.8",2.87599300402381e-20,1.01369964153589,0.681,0.72,5.75198600804762e-17,"8","LTB"
"CD4.8",1.46901864257913e-14,1.39860394570939,0.365,0.327,2.93803728515826e-11,"8","CD4"
"GZMH.8",1.92375542454725e-14,-0.800209355904185,0.083,0.19,3.8475108490945e-11,"8","GZMH"
"GATA3.5",3.19601857578821e-11,0.147847380353116,0.282,0.491,6.39203715157642e-08,"8","GATA3"
"TNFRSF4.5",4.86768786628768e-09,1.65006132670088,0.263,0.216,9.73537573257537e-06,"8","TNFRSF4"
"GZMK.8",2.71573677333806e-08,-0.164882800037808,0.13,0.214,5.43147354667612e-05,"8","GZMK"
"GNLY.7",0.000145387867237269,-0.233020491628468,0.128,0.181,0.290775734474538,"8","GNLY"
"PRF1.8",0.000728358850717827,0.344049993991827,0.346,0.494,1,"8","PRF1"
"STAT1.4",0.00154249964671979,0.841092573226785,0.456,0.515,1,"8","STAT1"
"IL2RA.1",0.00650696652696011,1.83571219566383,0.103,0.084,1,"8","IL2RA"
"IL7R.8",0.00790961038306063,0.636894698688598,0.608,0.68,1,"8","IL7R"
"IL7R.9",2.46379537320763e-166,-3.05919695496748,0.161,0.685,4.92759074641527e-163,"9","IL7R"
"LTB.9",6.82510065511774e-98,-1.54007569216615,0.333,0.724,1.36502013102355e-94,"9","LTB"
"ICOS.8",7.46445438426067e-98,-3.15457051002943,0.102,0.491,1.49289087685213e-94,"9","ICOS"
"RORA.7",4.19244235994565e-95,-2.33838144871632,0.149,0.538,8.38488471989129e-92,"9","RORA"
"NKG7.9",1.31178608740115e-94,-2.33261539569127,0.169,0.556,2.62357217480231e-91,"9","NKG7"
"GZMA.9",7.31282193814467e-89,-2.8023987054504,0.124,0.502,1.46256438762893e-85,"9","GZMA"
"PRF1.9",7.83972114579984e-87,-2.27500124176504,0.125,0.496,1.56794422915997e-83,"9","PRF1"
"GATA3.6",1.139504180635e-86,-2.62203531311978,0.131,0.492,2.27900836127001e-83,"9","GATA3"
"CD8A.8",4.2509863840309e-69,-2.30327267621465,0.124,0.445,8.50197276806179e-66,"9","CD8A"
"TIGIT.8",1.08797614931844e-67,-2.84623377823373,0.083,0.393,2.17595229863689e-64,"9","TIGIT"
"CD40LG.8",1.95411744126073e-63,-3.14020548010431,0.075,0.37,3.90823488252146e-60,"9","CD40LG"
"CD8B.9",5.33341194301472e-57,-2.25764270753037,0.107,0.391,1.06668238860294e-53,"9","CD8B"
"CD4.9",1.96525000148357e-38,1.12552820279155,0.518,0.326,3.93050000296715e-35,"9","CD4"
"TBX21.7",5.71956997687224e-36,-3.1054666638579,0.044,0.233,1.14391399537445e-32,"9","TBX21"
"IFNG.8",7.90094328626695e-33,-2.51944805237395,0.09,0.282,1.58018865725339e-29,"9","IFNG"
"CTLA4.7",5.31265233658276e-32,-2.39425216936729,0.102,0.29,1.06253046731655e-28,"9","CTLA4"
"GZMB.8",1.45728199131128e-29,-1.2605858383839,0.079,0.261,2.91456398262255e-26,"9","GZMB"
"GZMK.9",4.33976640372058e-26,-2.67755939793552,0.059,0.214,8.67953280744116e-23,"9","GZMK"
