"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD8B",0,-5.0636871535718,0.024,0.546,0,"0","CD8B"
"CD40LG",0,1.9508339375453,0.722,0.221,0,"0","CD40LG"
"CD8A",0,-4.40786901275092,0.094,0.592,0,"0","CD8A"
"TIGIT",0,-4.26277834745704,0.052,0.535,0,"0","TIGIT"
"IL7R",0,1.95970189375935,0.979,0.56,0,"0","IL7R"
"NKG7",0,-3.26241853486906,0.304,0.662,0,"0","NKG7"
"GZMA",0,-3.45964680052909,0.25,0.608,0,"0","GZMA"
"GZMB",0,-5.23894284895455,0.027,0.36,0,"0","GZMB"
"CD4",0,1.21575550086995,0.541,0.235,0,"0","CD4"
"PRF1",0,-1.88662683255072,0.287,0.584,0,"0","PRF1"
"CTLA4",0,-2.55751601902876,0.1,0.37,0,"0","CTLA4"
"GZMH",0,-4.41586442732245,0.027,0.259,0,"0","GZMH"
"GNLY",0,-4.37930867505505,0.028,0.246,0,"0","GNLY"
"IFNG",0,-1.08156524830707,0.129,0.346,0,"0","IFNG"
"LTB",0,0.227318738867177,0.874,0.66,0,"0","LTB"
"GZMK",0,-2.97474839377632,0.074,0.273,0,"0","GZMK"
"SELL",0,-3.34954783223319,0.024,0.205,0,"0","SELL"
"RORA",0,0.553804580428765,0.635,0.497,0,"0","RORA"
"FOXP3",2.93412415226929e-280,-3.54330969016016,0.024,0.101,5.86824830453859e-277,"0","FOXP3"
"CCR7",2.10282942099312e-198,-1.50988359466552,0.106,0.192,4.20565884198623e-195,"0","CCR7"
"TNFRSF4",5.52978316067604e-156,-0.414903521832776,0.286,0.188,1.10595663213521e-152,"0","TNFRSF4"
"ICOS",3.88959137208976e-111,0.207151126433705,0.548,0.466,7.77918274417951e-108,"0","ICOS"
"GATA3",9.09950974285674e-92,0.383281854273861,0.525,0.478,1.81990194857135e-88,"0","GATA3"
"TBX21",2.53613004167349e-33,-0.216121727863565,0.198,0.248,5.07226008334698e-30,"0","TBX21"
"TNFRSF18",8.84214529672152e-22,-0.903620004454057,0.209,0.231,1.7684290593443e-18,"0","TNFRSF18"
"CTLA4.1",0,2.47131011648626,0.73,0.217,0,"1","CTLA4"
"TNFRSF4.1",0,3.1477211217575,0.551,0.162,0,"1","TNFRSF4"
"CD8A.1",0,-2.43617875404066,0.126,0.498,0,"1","CD8A"
"NKG7.1",0,-2.21012234009866,0.24,0.609,0,"1","NKG7"
"FOXP3.1",0,5.19401591801555,0.39,0.027,0,"1","FOXP3"
"CD8B.1",0,-2.67602648574516,0.102,0.44,0,"1","CD8B"
"CD4.1",0,1.19496034923788,0.592,0.281,0,"1","CD4"
"TNFRSF18.1",0,2.22258329439639,0.468,0.184,0,"1","TNFRSF18"
"ICOS.1",0,1.18195250644778,0.717,0.453,0,"1","ICOS"
"SELL.1",0,1.61863901759117,0.355,0.117,0,"1","SELL"
"STAT1",0,1.23952722463445,0.711,0.483,0,"1","STAT1"
"GZMB.1",0,-2.08123150122743,0.085,0.291,0,"1","GZMB"
"LTB.1",0,1.51821379268717,0.896,0.694,0,"1","LTB"
"IL2RA",0,2.89669331528389,0.224,0.061,0,"1","IL2RA"
"IL7R.1",0,-0.822057910059236,0.569,0.703,0,"1","IL7R"
"TIGIT.1",1.50680046640781e-270,0.873964034712946,0.529,0.37,3.01360093281562e-267,"1","TIGIT"
"GZMA.1",1.23700638434565e-233,-1.2328908136306,0.368,0.525,2.47401276869131e-230,"1","GZMA"
"GZMH.1",1.96882296013331e-196,-1.62904978375621,0.085,0.208,3.93764592026661e-193,"1","GZMH"
"RORA.1",9.1034652582732e-168,0.630730434486986,0.639,0.521,1.82069305165464e-164,"1","RORA"
"CCR7.1",1.00895326660106e-163,0.861662075467425,0.261,0.151,2.01790653320212e-160,"1","CCR7"
"PRF1.1",4.07044224566066e-152,-0.742860530967082,0.409,0.511,8.14088449132131e-149,"1","PRF1"
"IFNG.1",2.76725221995045e-75,-0.873641860858105,0.212,0.293,5.5345044399009e-72,"1","IFNG"
"GNLY.1",2.42306053109563e-69,-1.19773556980988,0.125,0.191,4.84612106219126e-66,"1","GNLY"
"CD40LG.1",1.33061624068798e-38,0.32486282038449,0.431,0.359,2.66123248137595e-35,"1","CD40LG"
"TBX21.1",2.34321313737724e-19,-0.261680629894749,0.202,0.238,4.68642627475449e-16,"1","TBX21"
"GATA3.1",1.58324419324737e-17,0.173846548546708,0.536,0.484,3.16648838649474e-14,"1","GATA3"
"GZMK.1",7.83612469891662e-07,0.113662291730694,0.193,0.218,0.00156722493978332,"1","GZMK"
"CD8B.2",0,1.84698200978023,0.933,0.315,0,"2","CD8B"
"CD8A.2",0,1.59627038665811,0.983,0.368,0,"2","CD8A"
"NKG7.2",0,0.463884574377754,0.938,0.502,0,"2","NKG7"
"CD40LG.2",0,-3.4569893511434,0.062,0.413,0,"2","CD40LG"
"CD4.2",0,-4.33533913151697,0.036,0.367,0,"2","CD4"
"CTLA4.2",0,-3.53117946780132,0.051,0.325,0,"2","CTLA4"
"TNFRSF4.2",0,-4.80558163347859,0.027,0.244,0,"2","TNFRSF4"
"ICOS.2",0,-1.29060545215944,0.308,0.517,0,"2","ICOS"
"TNFRSF18.2",0,-3.1560354198452,0.051,0.25,0,"2","TNFRSF18"
"SELL.2",0,-3.41574641634102,0.019,0.17,0,"2","SELL"
"LTB.2",3.25077780504583e-291,-1.08700371550191,0.65,0.733,6.50155561009166e-288,"2","LTB"
"CCR7.2",5.57294945660643e-225,-2.47255997013723,0.052,0.183,1.11458989132129e-221,"2","CCR7"
"IFNG.2",1.01792587753297e-193,1.06337036760977,0.404,0.264,2.03585175506595e-190,"2","IFNG"
"GZMB.2",4.64076367112335e-155,-0.460518259254886,0.397,0.242,9.28152734224671e-152,"2","GZMB"
"GZMA.2",8.95339603642895e-152,-0.140378382817817,0.672,0.478,1.79067920728579e-148,"2","GZMA"
"STAT1.1",3.22906534479972e-103,-0.620187167307897,0.422,0.529,6.45813068959945e-100,"2","STAT1"
"GZMH.2",3.1884629468224e-87,-0.216939403441115,0.278,0.178,6.37692589364479e-84,"2","GZMH"
"GZMK.2",2.59155437975118e-84,-1.85620807780769,0.148,0.224,5.18310875950236e-81,"2","GZMK"
"GNLY.2",8.86231658313501e-54,-1.46411665644127,0.126,0.19,1.772463316627e-50,"2","GNLY"
"GATA3.2",5.63229490808407e-52,-0.318971015143689,0.411,0.503,1.12645898161681e-48,"2","GATA3"
"IL7R.2",3.37465839902131e-29,-0.117628862649138,0.805,0.666,6.74931679804261e-26,"2","IL7R"
"TBX21.2",3.48053960788391e-05,0.156528907652451,0.245,0.231,0.0696107921576781,"2","TBX21"
"NKG7.3",0,0.64050817532272,0.946,0.506,0,"3","NKG7"
"TIGIT.2",0,1.30733204278389,0.775,0.343,0,"3","TIGIT"
"GNLY.3",0,2.0833859548858,0.552,0.134,0,"3","GNLY"
"GZMA.3",0,2.543707639845,0.833,0.46,0,"3","GZMA"
"GZMB.3",0,0.388896459345845,0.59,0.219,0,"3","GZMB"
