,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
ADAM23,0,4.600771902,0.127,0.007,0,0,ADAM23
COLQ,0,4.584977728,0.102,0.007,0,0,COLQ
IL4I1,0,3.481244024,0.149,0.022,0,0,IL4I1
IL23R,0,3.054806131,0.142,0.022,0,0,IL23R
TNFSF13B,0,2.955844939,0.294,0.055,0,0,TNFSF13B
IL2,0,2.94510231,0.305,0.06,0,0,IL2
IFI44L,7.97E-222,2.810454755,0.087,0.013,1.59E-218,0,IFI44L
CFH,6.08E-248,2.735432959,0.081,0.009,1.22E-244,0,CFH
CCR2,0,2.588798222,0.237,0.046,0,0,CCR2
TNF,0,2.584068309,0.498,0.181,0,0,TNF
DPP4,0,2.371088905,0.294,0.078,0,0,DPP4
AC020571.1,0,2.310155645,0.407,0.131,0,0,AC020571.1
EGR1,0,2.2967692,0.47,0.244,0,0,EGR1
RORC,5.02E-170,2.285060285,0.101,0.026,1.00E-166,0,RORC
AC004832.6,4.57E-207,2.175898306,0.145,0.044,9.14E-204,0,AC004832.6
CD40LG,0,2.175671109,0.711,0.203,0,0,CD40LG
IL7R,0,2.130967484,0.984,0.544,0,0,IL7R
TTC39C-AS1,5.26E-195,2.050872856,0.129,0.037,1.05E-191,0,TTC39C-AS1
IFI44,1.02E-218,1.97215258,0.146,0.043,2.05E-215,0,IFI44
SPART,0,1.954075432,0.242,0.066,0,0,SPART
IGFBP3,9.10E-293,1.948766461,0.193,0.057,1.82E-289,0,IGFBP3
NLRP3,2.32E-109,1.937795801,0.095,0.033,4.64E-106,0,NLRP3
CSF2,1.85E-73,1.902238055,0.083,0.034,3.70E-70,0,CSF2
EGR3,3.17E-222,1.899189033,0.162,0.052,6.33E-219,0,EGR3
CCDC184,3.67E-140,1.857155377,0.126,0.046,7.34E-137,0,CCDC184
NSG1,2.48E-241,1.853863826,0.182,0.06,4.96E-238,0,NSG1
FHL1,1.77E-229,1.805087344,0.156,0.046,3.54E-226,0,FHL1
MYBL1,0,1.766797308,0.378,0.139,0,0,MYBL1
FOSB,0,1.762935711,0.917,0.637,0,0,FOSB
FOS,0,1.736396678,0.987,0.848,0,0,FOS
ABCA1,5.77E-117,1.731689252,0.094,0.031,1.15E-113,0,ABCA1
ANXA1,0,1.679646407,0.96,0.544,0,0,ANXA1
LGALS3,0,1.631722763,0.655,0.311,0,0,LGALS3
JUN,0,1.580064274,0.9,0.794,0,0,JUN
LMNA,5.37E-193,1.541579724,0.218,0.094,1.07E-189,0,LMNA
TMEM273,2.77E-218,1.530765019,0.222,0.092,5.54E-215,0,TMEM273
CCR6,0,1.51783882,0.382,0.139,0,0,CCR6
EDARADD,1.60E-43,1.516106747,0.086,0.046,3.20E-40,0,EDARADD
KLRB1,0,1.493926708,0.892,0.449,0,0,KLRB1
ERN1,0,1.487818731,0.503,0.249,0,0,ERN1
IL23A,4.62E-74,1.473412656,0.096,0.042,9.25E-71,0,IL23A
CCL20,1.75E-108,1.458156401,0.125,0.053,3.50E-105,0,CCL20
MZF1-AS1,5.44E-119,1.438982381,0.157,0.072,1.09E-115,0,MZF1-AS1
TIMP1,0,1.41254617,0.427,0.197,0,0,TIMP1
IFNGR1,1.76E-307,1.356759539,0.397,0.211,3.53E-304,0,IFNGR1
NT5E,5.30E-78,1.353082414,0.095,0.04,1.06E-74,0,NT5E
ADRB2,1.38E-99,1.346025667,0.112,0.046,2.77E-96,0,ADRB2
OSM,1.24E-28,1.33096061,0.092,0.058,2.48E-25,0,OSM
CACNA2D4,7.90E-52,1.308940363,0.105,0.058,1.58E-48,0,CACNA2D4
LST1,8.45E-52,1.294458148,0.098,0.052,1.69E-48,0,LST1
AHNAK,0,1.284694417,0.766,0.451,0,0,AHNAK
C3AR1,1.43E-122,1.268723783,0.173,0.083,2.86E-119,0,C3AR1
CD4,0,1.26607077,0.556,0.228,0,0,CD4
SESN1,3.38E-307,1.261242733,0.378,0.185,6.75E-304,0,SESN1
NR4A1,0,1.232398213,0.689,0.494,0,0,NR4A1
NR1D1,9.41E-53,1.230095134,0.097,0.05,1.88E-49,0,NR1D1
DUSP1,0,1.223872173,0.987,0.923,0,0,DUSP1
TTC39C,0,1.208673033,0.705,0.5,0,0,TTC39C
ANTXR2,1.53E-122,1.203672661,0.171,0.08,3.05E-119,0,ANTXR2
CD200R1,8.31E-171,1.198328201,0.302,0.175,1.66E-167,0,CD200R1
PTGER2,0,1.194846678,0.539,0.279,0,0,PTGER2
NFKBIA,0,1.191531013,0.81,0.697,0,0,NFKBIA
AL121944.1,1.02E-45,1.149377957,0.087,0.046,2.04E-42,0,AL121944.1
SORL1,4.41E-284,1.133406606,0.381,0.193,8.83E-281,0,SORL1
TSC22D2,1.38E-64,1.098473153,0.261,0.188,2.75E-61,0,TSC22D2
PNP,2.08E-233,1.087135479,0.508,0.359,4.15E-230,0,PNP
HSPA1B,3.33E-125,1.051603505,0.516,0.397,6.66E-122,0,HSPA1B
CDKN1A,9.80E-78,1.050362254,0.253,0.169,1.96E-74,0,CDKN1A
AC020916.1,0,1.045593946,0.636,0.424,0,0,AC020916.1
